7  1029 90.44
21:01:03.717 -> 810  -3067  1029 90.44
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 810  -3067  1029 90.44
21:01:03.717 -> 810  -3067  1029 90.44
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.717 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.752 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.785 -> 811  -3066  1030 90.53
21:01:03.819 -> 811  -3066  1030 90.53
21:01:03.819 -> 811  -3066  1030 90.53
